--- PRUEBA DE GENERACIÓN DE MUESTRAS ITERATIVAS ---
Población total: 20000000 valores
Tamaño de muestra por iteración: 385 valores

--- ITERACIÓN 1 (192 puntos) ---
X,Y
466614,392423
753298,635999
182354,269842
702165,76070
400078,178689
977907,185728
951637,591871
944002,944222
239920,682835
246537,330721
747539,37930
570560,193274
818729,170580
958397,374858
329288,708909
849618,898234
874163,313114
59585,328227
293068,486578
945516,630350
471251,309591
711502,677489
310319,827836
934331,848109
297454,443641
142874,840619
567092,547308
96451,741868
388607,489348
2152,525038
811659,241010
595373,548438
217455,952392
999133,63089
157166,465210
788466,344678
769759,293163
158936,320262
26725,1196
209900,751304
929598,289325
733469,882515
170244,705794
598722,351809
550662,781464
354653,601918
916654,669171
365536,497056
873176,829561
86019,953768
251780,2695
99866,675282
107631,775067
52407,726375
929256,205345
66700,438660
269704,44887
53814,843512
783622,947273
906343,843486
381540,806989
684885,496163
667545,699409
628036,897829
174035,644823
963821,369836
74645,40587
837852,8967
273924,113088
842025,508959
505033,374183
766650,231477
427286,498031
184464,827126
62240,681448
184321,834292
814240,30684
639161,358355
250697,847674
300487,379914
9524,931507
252173,796923
316869,401006
702216,691318
201709,520145
568064,648905
558719,364846
796113,686663
730500,345583
233050,769188
707340,402648
113141,501570
129770,288189
233039,756842
111572,428408
435050,683492
905282,229867
898108,316578
835026,644192
324579,388077
91298,951744
287864,584049
725918,414713
534660,312915
412321,926138
852192,769507
968103,288294
240509,212002
137304,747243
28380,678890
406816,898777
717380,831005
199499,283381
217440,200831
271212,685099
94986,800323
404684,229410
202219,591547
236255,547676

--- ITERACIÓN 4 (192 puntos) ---
X,Y
326287,255403
368959,764597
891134,743039
572983,139535
132343,13480
222832,866856
751958,357200
952410,113964
753569,707066
512002,639311
642898,563751
263143,762431
45603,3366
142137,127585
152464,144991
577892,783578
555553,473936
212274,276044
857685,657064
260460,312724
8564,870057
69408,970697
519797,823300
155562,965032
221093,375263
575680,130901
332095,454503
292062,689948
285418,481934
282525,283575
493078,984225
58659,288276
291829,122244
827895,326590
809080,446915
736082,517599
968548,846338
323138,114267
436118,469533
417378,733054
276357,900062
884994,629615
239811,688604
832684,436126
582719,884526
104039,377605
575517,584797
145698,429450
240126,100122
390277,414402
649996,495280
274914,520956
945653,801019
906999,37576
79292,762088
159899,9557
542274,871773
502548,692838
845521,608103
514404,549206
436724,697951
265924,954652
372682,928878
871860,574848
250930,455824
38910,643153
172728,132157
940916,685305
485177,375460
862192,248921
40413,106895
39554,980102
345698,344442
798418,368731
118863,895448
117942,316237
676711,288360
137100,359090
668659,327972
328938,66675
457502,49153
419602,389059
389439,306444
181946,274773
143729,800199
92895,861512
125645,642474
901263,421142
765234,415669
49493,171332
786048,28854
483165,901717
381020,429614
949352,653776
554505,724640
664715,276166
456452,856267
968569,57129
929835,232047
957366,840078
843124,781692
176433,628933
95988,745256
336768,713663
280701,109959
467512,272675
308250,98428
910948,708168
799897,13855
525380,845724
54954,583725
446829,621752
471329,848608
649771,655342
505047,305939
787113,641495
26369,798266
621702,543139
229369,148655
994495,631892
447016,44746
333210,231564
410296,242874
489299,335948
613584,346293
307640,406757
650629,283966
147838,371529
18033,20346
306078,493762
506177,861997
920263,641057
842956,377665
357592,504504
105783,149408
11690,769711
941187,77928
993795,536002
380182,232647
371915,824550
549518,999317
983672,191718
453335,622694
797721,320121
461501,220867
455493,653574
322246,906490
382325,492318
262789,920217
67279,554808
450994,138359
738853,414201
126186,225768
458036,566125
854316,384183
289731,421565
408909,792909
192274,870734
150209,834858
708650,463651
435559,147833
673942,264011
531891,859260
150812,764003
807833,994764
412481,904474
181829,803486
292787,70477
376478,486971
978958,875287
867216,610336
987279,455660
551278,673699
328882,610441
652475,619755
764863,583780
310458,895698
764547,763555
974820,760679
52683,144910
181272,880585
687982,504771
266823,399412
975678,307427
385654,63400
679242,932494
269708,393845
395427,87881
882153,63240
922202,146320
718971,752861
111862,87620

--- ITERACIÓN 5 (192 puntos) ---
X,Y
196187,553181
344666,517493
766714,574080
426826,68777
153964,762524
430713,537390
245885,93128
330126,579632
648489,208751
943346,827620
904755,974416
758687,199086
503964,91171
658853,458812
108806,903031
715657,103626
584525,43875
377955,988803
166369,370117
391202,495020
118082,234899
647672,241290
579146,129874
816849,43499
604386,594043
863402,278346
980979,12557
510012,123224
321288,593464
951730,318188
256478,458447
110893,454432
453460,18539
979077,799349
113149,193537
908850,852795
594591,492374
257914,641050
178556,788199
864848,899107
572145,458546
675982,109001
273772,114805
762042,243988
579136,394612
482679,253358
628096,384234
251909,132754
304144,970167
653740,805413
958333,675966
273405,696647
74244,911976
960312,71254
329773,835380
445603,95625
692244,189168
904865,63745
900637,319210
1401,813995
21884,412942
882678,18314
635613,710717
639687,598490
258229,593134
456315,862547
597457,5799
427173,506336
222314,106848
642318,371198
360902,223743
314598,917112
406405,324424
923931,272634
19133,953366
593117,276122
211336,18533
640581,372933
32998,532098
708432,487773
356296,234629
860482,252714
209336,215737
481109,540872
354707,661562
408908,225399
829488,15789
245853,447984
707359,507345
79947,370886
721322,488713
310998,119636
451016,958986
408927,413404
996055,575786
91230,414052
24477,904368
755059,290305
290601,560368
218497,503673
501004,980639
178564,537519
7135,404369
319748,193131
31027,757809
591255,758708
682739,169136
902253,851959
932038,845569
673150,555241
185154,23235
48761,921254
520864,58758
931197,689734
469852,866487
576182,964646
389152,846088
124634,726071
536527,870594
244140,12213
29941,560297
212695,501045
605961,663264
664604,859950
135827,803853
296492,812841
775656,369341
828603,236877
812233,732988
957291,824525
204539,750921
156837,361370
433412,503329
744153,286370
630278,622130
940772,549611
29757,880313
162732,861297
211841,472690
725268,11393
311824,833129
536329,608805
694809,587993
752444,540528
700519,907256
408620,908858
208539,29354
467644,817836
308252,875588
174956,722811
93912,825375
176602,713416
447814,275305
886484,579078
23232,203006
105413,868446
663688,532710
685046,875796
590771,715304
473360,286451
598508,229700
23857,607475
905877,382538
36673,971985
735035,17637
712340,409680
275573,13081
580328,634394
760615,784871
617677,242765
83751,828529
716315,448024
253255,882223
381620,491912
92297,126227
80616,729795
877642,11051
385302,895500
678321,557156
362412,824036
201860,618671
938894,188622
946160,949790
423236,951699
276491,618725
808344,499312
761179,841873
378896,698263
361911,145328
409648,963270
39089,296087
880624,939182

